data_name,original_name,unzip_name,n_file,file_name1,file_name2,read_method,codebook_name,source
16PF,16PF,16PF,1,data.csv,,1,codebook.html,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
APS,APS_data,APS_data,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
APSdev,APS_dev_data,APS_dev_data,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
ASSC,AS+SC+AD+DO,AS+SC+AD+DO,1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
BIG5,BIG5,BIG5,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
CFCS,CFCS,CFCS,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
DASS,DASS_data_21.02.19,DASS_data_21.02.19,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
duckworth,duckworth-grit-scale-data,duckworth-grit-scale-data,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
EBFMT,EBFMT,EBFMT,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
ECR,ECR-data-1March2018,ECR-data-1March2018,1,data.csv,,2,codebook.html,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
EQSQ,EQSQ,EQSQ,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FBPS,FBPS-ValidationData,FBPS-ValidationData,1,FBPS-ValidationData.csv,,1,FBPS-ValidationData-Codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FPS,FPS,FPS,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FSIQ,FSIQ_0.1_data,FSIQ_0.1_data,1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FTI,FTI-data,FTI-data,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
GCBS,GCBS,data,1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
HEXACO,HEXACO,HEXACO,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
HSNSDD,HSNS+DD,HSNS+DD,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
HSQ,HSQ,HSQ,1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
IPIPFFM,IPIP-FFM-data-8Nov2018,IPIP-FFM-data-8Nov2018,1,data-final.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
IQ1,IQ1,IQ1,1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
itemsgen,itemsgen,itemsgen,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
KIMS,KIMS,KIMS,1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MACH,MACH_data,MACH_data,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MGKT,MGKT_data,MGKT_data,1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MIES,MIES_Dev_Data,MIES_Dev_Data,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MSSCQ,MSSCQ,MSSCQ,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
NIS,NIS_data,NIS_data,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
NPAS,NPAS-data-16December2018,NPAS-data-16December2018,1,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
