data_name,original_name,unzip_name,file_name1,file_name2,read_method,codebook_name,source
16PF,16PF,16PF,data.csv,,1,codebook.html,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
APS,APS_data,APS_data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
APSdev,APS_dev_data,APS_dev_data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
ASSC,AS+SC+AD+DO,AS+SC+AD+DO,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
BIG5,BIG5,BIG5,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
CFCS,CFCS,CFCS,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
DASS,DASS_data_21.02.19,DASS_data_21.02.19,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
duckworth,duckworth-grit-scale-data,duckworth-grit-scale-data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
EBFMT,EBFMT,EBFMT,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
ECR,ECR-data-1March2018,ECR-data-1March2018,data.csv,,2,codebook.html,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
EQSQ,EQSQ,EQSQ,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FBPS,FBPS-ValidationData,FBPS-ValidationData,FBPS-ValidationData.csv,,1,FBPS-ValidationData-Codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FPS,FPS,FPS,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FSIQ,FSIQ_0.1_data,FSIQ_0.1_data,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
FTI,FTI-data,FTI-data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
GCBS,GCBS,data,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
